HabitoPago;Km_Score;Habito;Km_Grupo;Tercero;CargaNacional;VariosVehiculos;Antiguedad;Arpu;Km_Recorridos;NroRevisiones;Uso;Balance;AtencionAlarmas;TiempoActivo;Facturado;OdsUnidad;Grupo;Target
HD;km+;2;3;0;0;0;0,329545454;0,4685;0,414932844;0;0,025;-1;1;1;0;1;0;1
HC;km+;3;3;0;0;0;0,210227272;0,4685;0,39846774;0;0;-1;1;0;0;1;0,69270298;1
HE;km+;1;3;1;1;1;0,420454545;0,6139;0,393660801;0;0,779;-1;1;0,258;1;1;0,371017471;1
HE;km+;1;3;1;0;0;0,392045454;0,3439;0,38644275;0;0,324;-1;1;1;1;1;0;1
HE;Estable;1;2;1;0;0;0,397727272;0,3439;0,381742802;0;0;-1;1;0,225;0;1;0,286742034;0
HA;km+;5;3;0;0;1;0,119318181;0,4685;0,376339772;0;0;-1;1;0,258;1;1;0,978417266;1
HE;Estable;1;2;0;1;0;0,204545454;0,4685;0,373072735;0;0,579;-1;1;1;1;1;0;1
HE;Estable;1;2;1;0;0;0,40340909;0,3439;0,366848169;0;0,065;-1;1;0;0;1;0,286742034;0
HB;km+;4;3;0;0;0;0,301136363;0,5005;0,366683862;0;0,857;-1;1;1;1;1;0;1
HE;km+;1;3;0;0;0;0,034090909;0,3439;0,362939187;0;0;-1;1;0,419;1;1;0,293936279;1
H0;km+;0;3;0;0;0;0,017045454;0,4685;0,360978965;0;0;-1;1;0,87;0;1;0,086330935;1
HE;km+;1;3;0;1;0;0,198863636;0,4685;0,360795552;0;0,597;-1;1;1;1;1;0;1
HD;km-;2;1;0;0;0;0,619318181;0,4685;0,355893086;0;0,414;-1;1;0,354;1;1;0,405960945;1
HC;km+;3;3;0;0;0;0,034090909;0,3879;0,351495004;0;0,029;-1;1;0,225;0;1;0,67934224;1
HE;km-;1;1;0;1;0;0,096590909;0,3439;0,350891271;0;0,604;-1;1;0,354;1;1;0,183967112;1
HE;km+;1;3;0;1;0;0,068181818;0,4685;0,345545557;0;0;-1;1;1;1;1;0;1
HA;km+;5;3;0;1;0;0,318181818;0,4685;0,33928278;0;0;-1;1;0,225;1;1;0,993833504;0
HE;Estable;1;2;0;1;0;0,073863636;0,3439;0,33611127;0;0;-1;1;0,225;0;1;0,257965056;0
HD;km+;2;3;0;0;0;0,09090909;0,4685;0,334865593;0;0,576;-1;1;0,354;1;1;0,50565262;1
HC;km+;3;3;0;0;0;0,1875;0,4685;0,330734988;0;0,083;-1;1;0,354;1;1;0,690647482;1
HE;km+;1;3;0;0;0;0,079545454;0,4685;0,328216885;0;0;-1;1;1;1;1;0;1
HE;km+;1;3;0;0;0;0,079545454;0,3439;0,32757112;0;0;-1;1;1;1;1;0;1
H0;Estable;0;2;0;0;0;0,323863636;0,4685;0,326283411;0;0,44;-1;1;0,322;1;1;0;1
HA;km+;5;3;0;1;0;0,65340909;0,4685;0,31955446;0;0,6;-1;1;1;1;1;0;1
HE;km+;1;3;0;0;0;0,119318181;0,4685;0,31575629;0;0;-1;1;0;0;1;0,297019527;0
HC;km+;3;3;1;0;0;0,318181818;0,6217;0,315591983;0;0;-1;1;0;1;1;0,731757451;1
HE;Estable;1;2;0;0;0;0,147727272;0,3879;0,315431497;0;0,584;-1;1;0,258;1;1;0,238437821;1
H0;km+;0;3;0;1;0;0,232954545;0,4685;0,315141094;0;0,488;-1;1;0,322;1;1;0,115107913;1
HE;km+;1;3;0;1;0;0,159090909;0,4685;0,314334843;0;0,128;-1;1;0;0;1;0,33299075;0
HC;km+;3;3;0;0;0;0,130681818;0,3439;0,31422021;0;0,849;-1;1;0;1;1;0,688591983;1
H0;km++;0;3;0;1;0;0,045454545;0,4685;0,313528591;0;0;-1;1;0,645;0;1;0,102774922;1
H0;Estable;0;2;0;1;0;0,323863636;0,4685;0,310502283;0;0;-1;1;0;0;1;0,080164439;0
HD;km--;2;1;0;1;0;0,142045454;0,4662;0,30961961;0;0,809;-1;1;1;1;1;0;1
H0;Estable;0;2;1;0;0;0,386363636;0,3439;0,307754915;0;0,722;-1;1;1;1;1;0;1
HE;Estable;1;2;0;1;0;0,068181818;0,3439;0,307323131;0;0;-1;1;1;0;1;0;1
HE;km++;1;3;1;1;0;0,335227272;0,4685;0,305389656;0;0,628;-1;1;1;1;1;0;1
HE;km+;1;3;0;0;0;0,136363636;0,3439;0,304992262;0;0,393;-1;1;0,258;1;1;0,300102774;1
HE;Estable;1;2;0;1;0;0,051136363;0,4685;0,303142852;0;0,204;-1;1;0,225;0;1;0,253854059;0
HE;km+;1;3;0;1;0;0,414772727;0,4639;0,302871554;0;0,162;-1;1;0;0;1;0,336073997;1
HA;Estable;5;2;0;0;0;0,085227272;0,4685;0,301301083;0;0;-1;1;0,225;0;1;0,938335046;1
H0;km+;0;3;0;0;0;0,051136363;0,3439;0,298484935;0;0,408;-1;1;0,322;1;1;0,088386433;0
HE;km-;1;1;0;0;0;0,085227272;0,3439;0,297667221;0;0;-1;1;0,225;0;1;0,147995889;0
H0;km+;0;3;0;1;0;0,113636363;0,3747;0,296253415;0;0,051;-1;1;0,645;0;1;0,107913669;0
HC;km+;3;3;0;0;0;0,295454545;0,5005;0,296012686;0;0,877;-1;1;1;1;1;0;1
HB;Estable;4;2;0;1;1;0,056818181;0,5412;0,29574712;0;0,43;-1;1;1;1;1;0;1
HB;Estable;4;2;0;0;0;0,346590909;0,4662;0,295023022;0;0,134;-1;1;0,258;0,933;1;0,815005138;1
